NAME_1,Population,date,any
Cherkasy,1359089,2004,18
Chernihiv,1189816,2004,17
Chernivtsi,912065,2004,22
Crimea,2374091,2004,41
Dnipropetrovs'k,3479157,2004,61
Donets'k,4676929,2004,65
Ivano-Frankivs'k,1394332,2004,40
Kharkiv,2850164,2004,193
Kherson,1139548,2004,5
Khmel'nyts'kyy,1389641,2004,29
Kiev,1780785,2004,65
Kiev City,2662044,2004,61
Kirovohrad,1085709,2004,36
L'viv,2589633,2004,40
Luhans'k,2443514,2004,49
Mykolayiv,1230944,2004,37
Odessa,2416791,2004,42
Poltava,1574323,2004,32
Rivne,1161335,2004,9
Sevastopol',2752685,2004,41
Sumy,1245747,2004,9
Ternopil',1120408,2004,17
Transcarpathia,1249088,2004,8
Vinnytsya,1722210,2004,17
Volyn,1045425,2004,8
Zaporizhzhya,1878965,2004,63
Zhytomyr,1347192,2004,64
