Oblast,Population
Autonomous Republic of Crimea,1995497
Vinnytsya,1722210
Volyn,1045425
Dnipropetrovsk,3479157
Donetsk,4676929
Zhytomyr,1347192
Zakarpattya,1249088
Zaporizhzhya,1878965
Ivano-Frankivsk,1394332
Kyiv,1780785
Kirovohrad,1085709
Luhansk,2443514
Lviv,2589633
Mykolayiv,1230944
Odesa,2416791
Poltava,1574323
Rivne,1161335
Sumy,1245747
Ternopil,1120408
Kharkiv,2850164
Kherson,1139548
Khmelnytskiy,1389641
Cherkasy,1359089
Chernivtsi,912065
Chernihiv,1189816
City of Kyiv,2662044
City of Sevastopol,378594
